NAME                         CPUS  MEMORY_GB  ZONE
t2d-standard-1               1     4.00       us-east1-b
t2d-standard-16              16    64.00      us-east1-b
t2d-standard-2               2     8.00       us-east1-b
t2d-standard-32              32    128.00     us-east1-b
t2d-standard-4               4     16.00      us-east1-b
t2d-standard-48              48    192.00     us-east1-b
t2d-standard-60              60    240.00     us-east1-b
t2d-standard-8               8     32.00      us-east1-b
z3-highmem-14-standardlssd   14    112.00     us-east1-b
z3-highmem-16-highlssd       16    128.00     us-east1-b
z3-highmem-176               176   1408.00    us-east1-b
z3-highmem-176-standardlssd  176   1408.00    us-east1-b
z3-highmem-22-highlssd       22    176.00     us-east1-b
z3-highmem-22-standardlssd   22    176.00     us-east1-b
z3-highmem-32-highlssd       32    256.00     us-east1-b
z3-highmem-44-highlssd       44    352.00     us-east1-b
z3-highmem-44-standardlssd   44    352.00     us-east1-b
z3-highmem-8-highlssd        8     64.00      us-east1-b
z3-highmem-88                88    704.00     us-east1-b
z3-highmem-88-highlssd       88    704.00     us-east1-b
z3-highmem-88-standardlssd   88    704.00     us-east1-b
c2-standard-16               16    64.00      us-east1-c
c2-standard-30               30    120.00     us-east1-c
c2-standard-4                4     16.00      us-east1-c
c2-standard-60               60    240.00     us-east1-c
c2-standard-8                8     32.00      us-east1-c
c2d-highcpu-112              112   224.00     us-east1-c
c2d-highcpu-16               16    32.00      us-east1-c
c2d-highcpu-2                2     4.00       us-east1-c
c2d-highcpu-32               32    64.00      us-east1-c
c2d-highcpu-4                4     8.00       us-east1-c
c2d-highcpu-56               56    112.00     us-east1-c
c2d-highcpu-8                8     16.00      us-east1-c
c2d-highmem-112              112   896.00     us-east1-c
c2d-highmem-16               16    128.00     us-east1-c
c2d-highmem-2                2     16.00      us-east1-c
c2d-highmem-32               32    256.00     us-east1-c
c2d-highmem-4                4     32.00      us-east1-c
c2d-highmem-56               56    448.00     us-east1-c
c2d-highmem-8                8     64.00      us-east1-c
c2d-standard-112             112   448.00     us-east1-c
c2d-standard-16              16    64.00      us-east1-c
c2d-standard-2               2     8.00       us-east1-c
c2d-standard-32              32    128.00     us-east1-c
c2d-standard-4               4     16.00      us-east1-c
c2d-standard-56              56    224.00     us-east1-c
c2d-standard-8               8     32.00      us-east1-c
c3-highcpu-176               176   352.00     us-east1-c
c3-highcpu-192-metal         192   512.00     us-east1-c
c3-highcpu-22                22    44.00      us-east1-c
c3-highcpu-4                 4     8.00       us-east1-c
c3-highcpu-44                44    88.00      us-east1-c
c3-highcpu-8                 8     16.00      us-east1-c
c3-highcpu-88                88    176.00     us-east1-c
c3-highmem-176               176   1408.00    us-east1-c
c3-highmem-192-metal         192   1536.00    us-east1-c
c3-highmem-22                22    176.00     us-east1-c
c3-highmem-4                 4     32.00      us-east1-c
c3-highmem-44                44    352.00     us-east1-c
c3-highmem-8                 8     64.00      us-east1-c
c3-highmem-88                88    704.00     us-east1-c
c3-standard-176              176   704.00     us-east1-c
c3-standard-176-lssd         176   704.00     us-east1-c
c3-standard-192-metal        192   768.00     us-east1-c
c3-standard-22               22    88.00      us-east1-c
c3-standard-22-lssd          22    88.00      us-east1-c
c3-standard-4                4     16.00      us-east1-c
c3-standard-4-lssd           4     16.00      us-east1-c
c3-standard-44               44    176.00     us-east1-c
c3-standard-44-lssd          44    176.00     us-east1-c
c3-standard-8                8     32.00      us-east1-c
c3-standard-8-lssd           8     32.00      us-east1-c
c3-standard-88               88    352.00     us-east1-c
c3-standard-88-lssd          88    352.00     us-east1-c
c3d-highcpu-16               16    32.00      us-east1-c
c3d-highcpu-180              180   354.00     us-east1-c
c3d-highcpu-30               30    59.00      us-east1-c
c3d-highcpu-360              360   708.00     us-east1-c
c3d-highcpu-4                4     8.00       us-east1-c
c3d-highcpu-60               60    118.00     us-east1-c
c3d-highcpu-8                8     16.00      us-east1-c
c3d-highcpu-90               90    177.00     us-east1-c
c3d-highmem-16               16    128.00     us-east1-c
c3d-highmem-180              180   1440.00    us-east1-c
c3d-highmem-30               30    240.00     us-east1-c
c3d-highmem-360              360   2880.00    us-east1-c
c3d-highmem-4                4     32.00      us-east1-c
c3d-highmem-60               60    480.00     us-east1-c
c3d-highmem-8                8     64.00      us-east1-c
c3d-highmem-90               90    720.00     us-east1-c
c3d-standard-16              16    64.00      us-east1-c
c3d-standard-16-lssd         16    64.00      us-east1-c
c3d-standard-180             180   720.00     us-east1-c
c3d-standard-180-lssd        180   720.00     us-east1-c
c3d-standard-30              30    120.00     us-east1-c
c3d-standard-30-lssd         30    120.00     us-east1-c
c3d-standard-360             360   1440.00    us-east1-c
c3d-standard-360-lssd        360   1440.00    us-east1-c
c3d-standard-4               4     16.00      us-east1-c
c3d-standard-60              60    240.00     us-east1-c
c3d-standard-60-lssd         60    240.00     us-east1-c
c3d-standard-8               8     32.00      us-east1-c
c3d-standard-8-lssd          8     32.00      us-east1-c
c3d-standard-90              90    360.00     us-east1-c
c3d-standard-90-lssd         90    360.00     us-east1-c
c4-highcpu-16                16    32.00      us-east1-c
c4-highcpu-192               192   384.00     us-east1-c
c4-highcpu-2                 2     4.00       us-east1-c
c4-highcpu-24                24    48.00      us-east1-c
c4-highcpu-32                32    64.00      us-east1-c
c4-highcpu-4                 4     8.00       us-east1-c
